地區,大廈名單,最後個案居住日期,相關疑似/確診個案
觀塘,曉麗苑曉暉閣,19/02/2020,第67個案
元朗,新田石湖圍,19/02/2020,第68個案
觀塘,油美苑潤美閣,20/02/2020,第69個案
灣仔,天后廟道26-32號飛龍臺,22/02/2020,第70個案
東區,興華(二)邨展興樓,22/02/2020,第73個案
元朗,Grand Yoho 第三座,22/02/2020,第75個案
東區,健威花園B座,22/02/2020,第86個案
東區,麗宮大廈,23/02/2020,第77個案
觀塘,興田邨彩田樓,24/02/2020,"第72,82個案"
東區,百福花園康福閣,24/02/2020,"第83,84個案"
灣仔,瑞士花園第4座,25/02/2020,"第85,90個案"
東區,書局街1-25號美輪大廈,25/02/2020,"第74,89,102個案"
南區,紅山半島第一期,25/02/2020,"第76,91,103個案"
灣仔,竹麗苑,26/02/2020,"第101,104個案"
西貢,寶盈花園4座,27/02/2020,"第92,95個案"
東區,鴻福大樓,27/02/2020,第93個案
觀塘,康瑞苑,29/02/2020,第98個案
深水埗,元州邨元樂樓,29/02/2020,"第99,100個案"
灣仔,樂陶苑C座,04/03/2020,第105個案
中西區,文武廟 (非住宅),19/02/2020,第85個案
灣仔,恆威商業大廈 (非住宅),19/02/2020,第85個案
觀塘,觀塘社區健康中心 (非住宅),19/02/2020,第69個案
東區,昌苑大廈 (非住宅),19/02/2020,第74個案
中西區,億利商業大廈 (非住宅),19/02/2020,第85個案
觀塘,廣田商場 (非住宅),20/02/2020,第72個案
油尖旺,旺角東地鐵站 (非住宅),20/02/2020,第82個案
觀塘,匯景廣場 (非住宅),22/02/2020,第82個案
東區,明苑中心 (非住宅),22/02/2020,第83個案
中西區,萬豪酒店 (非住宅),22/02/2020,"第85,101,104個案"
東區,柏蔚山1座 (非住宅),22/02/2020,"第85,101,104個案"
灣仔,竹麗苑 (非住宅),22/02/2020,第85個案
東區,春秧街街市 (非住宅),22/02/2020,第86個案
東區,書局街1-25號美輪大廈 (非住宅),22/02/2020,"第65,70,73,74,76,77,83,86,92,93,98,102個案"
灣仔,昌明街6號 (非住宅),22/02/2020,第85個案
灣仔,香港賽馬會跑馬地會所 (非住宅),22/02/2020,"第85,101,104個案"
灣仔,香港遊艇會 (非住宅),23/02/2020,第85個案
離島,索罟灣第一街23-27號 (非住宅),23/02/2020,第85個案
西貢,寶盈花園 (非住宅),23/02/2020,第92個案
中西區,卡佛大廈 (非住宅),24/02/2020,"第85,90個案"
灣仔,養和醫院 (非住宅),25/02/2020,"第76,85,91個案"
東區,柏立基夫人普通科門診診所 (非住宅),26/02/2020,第93個案
觀塘,物華街11號 (非住宅),26/02/2020,第98個案
九龍城,根德道5號 (非住宅),01/03/2020,第105個案
灣仔,鄧肇堅醫院 (非住宅),04/03/2020,第105個案
