地區,大廈名單,最後個案居住日期,相關疑似/確診個案
灣仔,安慧苑,,"114, 213"
南區,碧瑤灣28座,,"加拿大衞生當局通報的個案及第117, 118個案"
大埔,富亨邨亨泰樓,,"119, 124, 140"
葵青,iPlace,,"130, 131, 133, 138"
中西區,西寧街35號西寧閣,,132
大埔,林村梧桐寨,,134
中西區,順景雅庭,,135
南區,赤柱大街18號,,136
灣仔,大坑台A座,,137
東區,港利中心,,139
西貢,清水灣道684號,,141
葵青,宏福花園,,142
北區,華明邨禮明樓,,143
西貢,海逸居,,145
東區,堡壘大樓,,146
中西區,加列山道65號嘉麗園,,"147, 148"
南區,華富(二)邨華昌樓,,149
油尖旺,唯港薈,,150
油尖旺,重慶大廈A座,,151
屯門,海典軒1座,,152
沙田,曉翠山莊10座,,153
九龍城,鶴齡街8號,,154
黃大仙,龍蟠苑龍珠閣,,155
中西區,港島香格里拉大酒店,,156
大埔,逸瓏灣16座,,"157,158"
南區,紅山半島,,"160,235"
屯門,屯門市廣場 4座,,161
油尖旺,御金‧國峯7座,,162
中西區,薄扶林道86號嘉瑜園,,163
黃大仙,彩輝邨彩華樓,,167
灣仔,尚翹峰2座,,168
東區,香港維港凱悅尚萃酒店,,169
東區,藍灣半島2座,,170
沙田,富寶花園8座,,171
沙田,香港體育學院運動員宿舍,,172
黄大仙,慈愛苑愛慧閣,,173
油尖旺,凱帆軒3座,,"174,222"
觀塘,油麗邨盈麗樓,,"175,176"
中西區,豪景臺,,"177,178"
中西區,地利根德里3A號,,180
灣仔,金櫻閣,,"181,215"
西貢,大網仔路,,182
中西區,羅便臣道60號信怡閣,,183
南區,碧瑤灣47座,,184
灣仔,景光街5號景祥大樓,,185
東區,藍灣半島1座,,186
深水埗,E 酒店,,190
沙田,新港城C座,,191
油尖旺,恆裕閣,,192
屯門,香港屯門貝爾特酒店,,193
中西區,康威園,,194
九龍城,行德園,,195
葵青,葵芳邨葵安樓,,196
西貢,廣明苑廣寧閣,,198
油尖旺,金巴利道26號,,199
油尖旺,帝國酒店,,200
元朗,白沙村,,201
南區,麗景園4座,,"203,223"
沙田,玖瓏山月瓏閣3座,,204
西貢,日出康城首都2座,,"205,256"
南區,香島道46號,,206
中西區,曉峯閣1座,,207
中西區,四方街20號,,208
油尖旺,K11 ARTUS,,209
灣仔,海華苑 1座,,210
灣仔,囍滙3座,,"211,214,230"
離島,東堤灣畔5座,,212
灣仔,玫瑰新邨,,216
中西區,高街1號,,217
灣仔,威景臺A座,,218
荃灣,翠豐臺5座,,219
荃灣,萬景峯1座,,220
深水埗,怡閣苑怡泰閣,,221
油尖旺,富榮花園12座,,223
中西區,梅苑,,224
南區,赤柱村道4號,,225
南區,影灣園3座,,226
黃大仙,譽‧港灣7座,,226
九龍城,海逸豪園綠庭軒3座,,227
九龍城,鶴齡街8號,,228
荃灣,綠楊新邨C座,,229
灣仔,香港瑞吉酒店,,"230,264"
元朗,天瑞邨瑞林樓,,231
北區,逸峯1座,,232
葵青,長康邨康平樓,,233
南區,淺水灣南灣道,,234
灣仔,英皇駿景酒店,,236
東區,東霖苑,,237
中西區,西園永翠閣,,"238,268"
西貢,禾塘崗31號,,239
沙田,海栢花園1座,,240
九龍城,譚公道118號,,242
深水埗,又一村花園第2期,,243
屯門,蝴蝶邨蝶心樓,,244
中西區,律打街20號普慶大廈,,245
灣仔,樂活道6號比華利山C座,,246
灣仔,雲地利道8號,,247
東區,海景花園金楓閣,,249
東區,英皇道 867-881號麗華樓,,250
中西區,星鑽,,251
沙田,馬鞍山中心1座,,252
沙田,晉名峰Ｄ座,,253
屯門,大興邨興輝樓,,255
西貢,維景灣畔９座,,257
灣仔,威景臺A座,,260
中西區,山市街2號順安大廈,,261
九龍城,昌盛金鋪大樓,,262
葵青,石蔭東邨蔭恒樓,,263
灣仔,金櫻閣,,264
中西區,麥當勞道24號聚安樓,,265
南區,麗景園,,266
中西區,西浦,,267
東區,康怡花園Q座,,269
深水埗,美孚新邨1期23座,,270
離島,映灣園12座,,271
油尖旺,駿發花園4座,,272
油尖旺,海富苑海嵐閣B座,,273
觀塘,觀塘帝盛酒店,,274
黃大仙,啟德花園2座,,275
灣仔,恆信大廈,,276
灣仔,謝斐道 307號,,277
灣仔,Tagus Residences,,278
離島,寶峰寶琳閣,,279
中西區,太極軒120,,281
中西區,荷李活道208號,,282
南區,如心南灣海景酒店,,283
沙田,海柏花園6座,,284
油尖旺,浪澄灣7座,,285
西貢,北港㘭路,,286
荃灣,樂悠居,,287
葵青,青衣長安邨安海樓,,287
東區,和富中心6座,,288
東區,鯉景灣安曉閣,,289
南區,奧華·時尚精品酒店,,290
南區,龍德苑晉德閣,,291
灣仔,香港珀麗酒店,,292
灣仔,萬茂苑,,293
元朗,天恒邨恒滿樓,,294
荃灣,環宇海灣1座,,295
北區,粉嶺圍南,,296
東區,華美達盛景酒店,,297
北區,華明邨禮明樓,,298
九龍城,海韻軒3座,,299
油尖旺,九龍珀麗酒店,,300
沙田,廣林苑馥林閣,,301
沙田,香港體育學院精英運動員宿舍,,302
東區,東霖苑,,"303, 304"
東區,筲箕灣道191-193號,,306
觀塘,德田邨德瑞樓,,308
