更新日期,更新時間,地區,累計個案數目,新增個案數目,新村大邱教堂,清道郡大南醫院相關,輸入個案數目,其他,與流行病學有聯繫的群組或確診個案,其他##
24/02/2020,9:00,首爾,30,4,1,0,18,11,,
24/02/2020,9:00,釜山,17,8,4,1,0,12,,
24/02/2020,9:00,大邱,442,155,376,0,0,66,,
24/02/2020,9:00,仁川,2,0,1,0,1,0,,
24/02/2020,9:00,光州,9,2,7,0,1,1,,
24/02/2020,9:00,大田,3,1,0,0,0,3,,
24/02/2020,9:00,蔚山,1,0,1,0,0,0,,
24/02/2020,9:00,世宗,1,0,1,0,0,0,,
24/02/2020,9:00,京畿道,35,12,8,0,11,16,,
24/02/2020,9:00,江原道,7,0,3,0,0,4,,
24/02/2020,9:00,忠清北道,3,0,3,0,0,0,,
24/02/2020,9:00,忠清南道,1,0,0,0,0,1,,
24/02/2020,9:00,全羅北道,3,0,0,0,1,2,,
24/02/2020,9:00,全羅南道,1,0,0,0,1,0,,
24/02/2020,9:00,慶尙北道,186,16,38,112,0,36,,
24/02/2020,9:00,慶尙南道,20,9,13,0,0,7,,
24/02/2020,9:00,濟州,2,0,0,0,0,2,,
25/02/2020,9:00,首爾,36,3,2,0,18,16,,
25/02/2020,9:00,釜山,38,15,5,3,0,30,,
25/02/2020,9:00,大邱,499,57,407,1,0,91,,
25/02/2020,9:00,仁川,2,0,1,0,1,0,,
25/02/2020,9:00,光州,9,0,7,0,1,1,,
25/02/2020,9:00,大田,3,1,0,0,0,3,,
25/02/2020,9:00,蔚山,2,1,1,0,0,1,,
25/02/2020,9:00,世宗,1,0,1,0,0,0,,
25/02/2020,9:00,京畿,40,7,10,0,11,19,,
25/02/2020,9:00,江原,6,0,2,0,0,4,,
25/02/2020,9:00,忠清北,3,0,3,0,0,0,,
25/02/2020,9:00,忠清南,1,0,0,0,0,1,,
25/02/2020,9:00,全羅北,3,0,0,0,1,2,,
25/02/2020,9:00,全羅南,2,0,0,0,1,1,,
25/02/2020,9:00,慶尙北,225,45,49,109,0,67,,
25/02/2020,9:00,慶尙南,21,1,13,0,0,8,,
25/02/2020,9:00,濟州,2,0,0,0,0,2,,
26/02/2020,9:00,首爾,45,8,2,0,18,25,,
26/02/2020,9:00,釜山,50,13,6,2,0,42,,
26/02/2020,9:00,大邱,677,178,501,1,0,175,,
26/02/2020,9:00,仁川,3,1,1,0,1,1,,
26/02/2020,9:00,光州,9,0,7,0,1,1,,
26/02/2020,9:00,大田,3,0,0,0,0,3,,
26/02/2020,9:00,蔚山,3,1,2,0,0,1,,
26/02/2020,9:00,世宗,1,0,1,0,0,0,,
26/02/2020,9:00,京畿,43,3,8,0,11,24,,
26/02/2020,9:00,江原,6,0,2,0,0,4,,
26/02/2020,9:00,忠清北,5,2,3,0,0,2,,
26/02/2020,9:00,忠清南,2,1,0,0,0,2,,
26/02/2020,9:00,全羅北,3,0,0,0,1,2,,
26/02/2020,9:00,全羅南,1,0,0,0,1,0,,
26/02/2020,9:00,慶尙北,268,42,51,111,0,106,,
26/02/2020,9:00,慶尙南,25,4,13,0,0,12,,
26/02/2020,9:00,濟州,2,0,0,0,0,2,,
27/02/2020,9:00,首爾,55,10,2,0,18,35,,
27/02/2020,9:00,釜山,58,8,6,2,0,50,,
27/02/2020,9:00,大邱,1017,340,622,1,0,394,,
27/02/2020,9:00,仁川,3,0,1,0,1,1,,
27/02/2020,9:00,光州,9,0,7,0,1,1,,
27/02/2020,9:00,大田,8,5,0,0,0,8,,
27/02/2020,9:00,蔚山,6,3,2,0,0,4,,
27/02/2020,9:00,世宗,1,0,1,0,0,0,,
27/02/2020,9:00,京畿,55,12,10,0,11,34,,
27/02/2020,9:00,江原,6,0,2,0,0,4,,
27/02/2020,9:00,忠清北,7,2,3,0,0,4,,
27/02/2020,9:00,忠清南,7,5,0,0,0,7,,
27/02/2020,9:00,全羅北,3,0,0,0,1,2,,
27/02/2020,9:00,全羅南,1,0,0,0,1,0,,
27/02/2020,9:00,慶尙北,321,53,62,111,0,148,,
27/02/2020,9:00,慶尙南,36,11,13,0,0,23,,
27/02/2020,9:00,濟州,2,0,0,0,0,2,,
28/02/2020,9:00,首爾,62,7,2,0,18,42,,
28/02/2020,9:00,釜山,63,5,6,2,0,55,,
28/02/2020,9:00,大邱,1314,297,721,2,0,591,,
28/02/2020,9:00,仁川,4,1,1,0,1,2,,
28/02/2020,9:00,光州,9,0,7,0,1,1,,
28/02/2020,9:00,大田,13,5,0,0,0,13,,
28/02/2020,9:00,蔚山,11,5,4,0,0,7,,
28/02/2020,9:00,世宗,1,0,1,0,0,0,,
28/02/2020,9:00,京畿,66,11,10,0,11,45,,
28/02/2020,9:00,江原,6,0,2,0,0,4,,
28/02/2020,9:00,忠清北,9,2,3,0,0,6,,
28/02/2020,9:00,忠清南,16,9,0,0,0,16,,
28/02/2020,9:00,全羅北,5,2,0,0,1,4,,
28/02/2020,9:00,全羅南,1,0,0,0,1,0,,
28/02/2020,9:00,慶尙北,394,73,62,113,0,148,,
28/02/2020,9:00,慶尙南,46,10,13,0,0,23,,
28/02/2020,9:00,濟州,2,0,0,0,0,2,,
29/02/2020,9:00,首爾,74,12,4,0,18,52,,
29/02/2020,9:00,釜山,77,14,8,2,0,67,,
29/02/2020,9:00,大邱,2055,741,1356,2,0,697,,
29/02/2020,9:00,仁川,6,2,1,0,1,4,,
29/02/2020,9:00,光州,9,0,7,0,1,1,,
29/02/2020,9:00,大田,14,2,0,0,0,14,,
29/02/2020,9:00,蔚山,17,6,8,0,0,9,,
29/02/2020,9:00,世宗,1,0,1,0,0,0,,
29/02/2020,9:00,京畿,76,10,13,0,11,52,,
29/02/2020,9:00,江原,7,1,3,0,0,4,,
29/02/2020,9:00,忠清北,10,0,4,0,0,6,,
29/02/2020,9:00,忠清南,48,32,0,0,0,48,,
29/02/2020,9:00,全羅北,5,0,0,0,1,4,,
29/02/2020,9:00,全羅南,2,1,0,0,1,1,,
29/02/2020,9:00,慶尙北,469,75,133,115,0,221,,
29/02/2020,9:00,慶尙南,59,13,19,0,0,40,,
29/02/2020,9:00,濟州,2,0,0,0,0,2,,
01/03/2020,9:00,首爾,82,8,4,0,18,60,,
01/03/2020,9:00,釜山,81,4,8,2,0,71,,
01/03/2020,9:00,大邱,2569,513,1877,2,0,690,,
01/03/2020,9:00,仁川,6,0,1,0,1,4,,
01/03/2020,9:00,光州,9,0,7,0,1,1,,
