地區,大廈名單,最後個案居住日期,相關疑似/確診個案
灣仔,樂陶苑C座,05/03/2020,第105及108個案
中西區,寶城大廈A座,05/03/2020,第106及116個案
南區,美景徑美景臺,05/03/2020,第107個案
南區,碧瑤灣第31座,05/03/2020,第111個案
灣仔,瑞士花園第1座,06/03/2020,第110個案
中西區,德輔道西 341 號,06/03/2020,第116個案
灣仔,安慧苑,07/03/2020,第114個案
元朗,原築第1座,07/03/2020,第115個案
南區,碧瑤灣第28座,09/03/2020,加拿大衞生當局通報的個案及第117、118個案
屯門,兆禧苑安禧閣,10/03/2020,第120及121個案
沙田,廣林苑茂林閣,10/03/2020,第122個案
荃灣,碧堤半島第7座,10/03/2020,第123及129個案
觀塘,德福花園T座,10/03/2020,第125個案
觀塘,麗港城2期第26座,10/03/2020,第126及127個案
西貢,怡明邨 怡情樓,10/03/2020,第58及128個案
葵青,iPlace,12/03/2020,"第130,131,133及138個案"
中西區,西寧街35號西寧閣,12/03/2020,第132個案
大埔,林村梧桐寨,13/03/2020,第134個案
中西區,順景雅庭,13/03/2020,第135個案
南區,赤柱大街18號,13/03/2020,第136個案
灣仔,春暉道5號大坑台A座,13/03/2020,第137個案
東區 ,港利中心,13/03/2020,第139個案
大埔,富亨邨亨泰樓,13/03/2020,"第119,124及140個案"
西貢,清水灣道684號,13/03/2020,第141個案
葵青,宏福花園,13/03/2020,第142個案
北區,華明邨禮明樓,14/03/2020,第143個案
西貢,西貢白沙灣,14/03/2020,第145個案
東區,堡壘街25-27號堡壘大樓,14/03/2020,第146個案
南區,加列山道65號嘉麗園,14/03/2020,第147及148個案
南區,華富(二)邨華昌樓,15/03/2020,第149個案
九龍城,根德道5號 (非住宅),01/03/2020,第105及108個案
油尖旺區,香港喜來登酒店 (非住宅),01/03/2020,第105及108個案
葵青,新都會廣場 (非住宅),01/03/2020,"第130,131個案"
灣仔,東方大廈 (非住宅),02/03/2020,第105個案
中西區,東華醫院 (非住宅),02/03/2020,第105個案
油尖旺區,中銀中心 (非住宅),02/03/2020,第105個案
中西區,統一中心 (非住宅),02/03/2020,第105個案
油尖旺,先達廣場 (非住宅),02/03/2020,"第130,131個案"
中西區,威靈頓廣場 (非住宅),03/03/2020,第105及108個案
中西區,雲咸街1號南華大厦 (非住宅),03/03/2020,加拿大衞生當局通報的個案及第117個案
灣仔,鄧肇堅醫院 (非住宅),04/03/2020,第105個案
離島,長洲南海傍路1116號 (非住宅),04/03/2020,第107個案
離島,大新後街111D號 (非住宅),04/03/2020,第107個案
離島,新興街101-103號 (非住宅),04/03/2020,第107個案
中西區,嘉諾撒醫院 (非住宅),05/03/2020,第106個案
中西區,香港醫學博物館 (非住宅),05/03/2020,第110個案
中西區,香港工業大廈 (非住宅),05/03/2020,第116個案
南區,香港仔市政大廈 (非住宅),05/03/2020,第118個案
灣仔,利園一期 (非住宅),06/03/2020,第114個案
南區,域多利道550號 (非住宅),06/03/2020,第118個案
荃灣,碧堤坊 (非住宅),07/03/2020,第123及129個案
大埔,大埔超級城 (非住宅),07/03/2020,第124個案
屯門,美樂花園商塲 (非住宅),08/03/2020,第120及121個案
沙田,寶福紀念館 (非住宅),08/03/2020,第125個案
油尖旺,旺角新城 (非住宅),08/03/2020,第125個案
油尖旺,新填地街182號 (非住宅),08/03/2020,第125個案
 油尖旺,新光商業大廈 (非住宅),08/03/2020,第125個案
灣仔,波斯富街48號 (非住宅),08/03/2020,第134個案
屯門,啟豐商場 (非住宅),09/03/2020,第120及121個案
荃灣, 陳記商業中心 (非住宅),09/03/2020,第123個案
荃灣,深井村61號 (非住宅),09/03/2020,第123個案
觀塘,觀塘廣場 (非住宅),09/03/2020,第125個案
觀塘,成運工業大廈 (非住宅),09/03/2020,第125個案
觀塘,大本型 (非住宅),09/03/2020,第67及125個案
 油尖旺,好望角大廈 (非住宅),09/03/2020,第125個案
油尖旺,永隆銀行中心 (非住宅),09/03/2020,第125個案
觀塘,麗港城商場 (非住宅),09/03/2020,第126及127個案
東區,英皇道625號 (非住宅),09/03/2020,第134個案
離島,長洲市政大廈 (非住宅),10/03/2020,第123個案
離島,建新里1-2號 (非住宅),10/03/2020,第123個案
元朗,嘉湖新北江商場 (非住宅),10/03/2020,第125個案
葵青,青怡薈 (非住宅),10/03/2020,第142個案
中西區,香港大學明華綜合大樓 (非住宅),11/03/2020,第132個案
灣仔,白建時道33號嘉雲臺2座 (非住宅),11/03/2020,第137個案
灣仔,白建時道5號 (非住宅),11/03/2020,第137個案
大埔,富亨商場 (非住宅),11/03/2020,第119、124及140個案
油尖旺,旺角中心 (非住宅),11/03/2020,第142個案
灣仔,香港港安醫院–司徒拔道 (非住宅),11/03/2020,第147及148個案
灣仔,養和醫院 (非住宅),13/03/2020,第76、85、91、110、139、147及148個案
葵青,翠怡商場 (非住宅),13/03/2020,第142個案
中西區,廣基工廠大廈 (非住宅),13/03/2020,第146個案
灣仔,灣景國際 (非住宅),14/03/2020,第144個案
