District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Tuen Mun,Tze Tin Tsuen,12/02/2020,Case 51
Wan Chai,"Heung Hoi Mansion, 28-32 O'Brien Road",12/02/2020,"Case 52, 53"
Kwai Tsing,"Shek Yi House, Shek Lei (II) Estate",12/02/2020,Case 55
Southern ,Tai Long Wan Village ,13/02/2020,Case 54
Central and Western ,233 Wing Lok Street ,13/02/2020,Case 56 
Eastern ,"Block D, Mount Parker Lodge, 10 Hong Pak Path",14/02/2020,"Case 52, 61"
Eastern,"Ming Kung Mansion, Taikoo Shing, 22 Taikoo Shing Road",16/02/2020,"Case 57, 60"
Sai Kung,Yee Ching House Yee Ming Estate,16/02/2020,Case 58
Wong Tai Sin,"Oi Wah House, Tsz Oi Court, Tsz Wan Shan",16/02/2020,Case 59
Kwun Tong,"Cambridge Building, 25-41 Hong Ning Road",17/02/2020,Case 62
Eastern,"Sui Moon House, Siu Sai Wan Estate",18/02/2020,"Case 64, 65"
Tuen Mun,"Block 1, Seaview Garden",18/02/2020,"Case 63, 66"
Kwun Tong,"Hiu Fai House, Hiu Lai Court",19/02/2020,Case 67
Yuen Long,"Shek Wu Wai, San Tin",19/02/2020,Case 68
Kwun Tong,"Yun Mei House, Yau Mei Court",20/02/2020,Case 69
Wan Chai,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road",22/02/2020,Case 70
Eastern,"Chin Hing House, Hing Wah (II) Estate",22/02/2020,Case 73
Yuen Long ,"Block 3, Grand Yoho",22/02/2020,Case 75
Eastern,"Block B, Healthy Gardens",22/02/2020,Case 86
Eastern,Majestic Apartments,23/02/2020,Case 77
Southern,"Phase 1, The Redhill Peninsula",24/02/2020,"Case 76, 91"
Kwun Tong,"Choi Tin House, Hing Tin Estate",24/02/2020,"Case 72, 82"
Eastern,"Hong Fook Court, Bedford Gardens",24/02/2020,"Case 83, 84"
Wan Chai,"Block 4, Swiss Towers",25/02/2020,"Case 85, 90"
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",25/02/2020,"Case 74,89"
Wong Tai Sin,"42 Yuk Wah Street, Tsz Wan Shan (Non residential building)",13/02/2020,Case 59
Kwun Tong,"Lok Wah Shopping Centre, Lok Wah North Estate (Non residential building)",13/02/2020,Case 62
Eastern,Goldfield Mansion (Non residential building),13/02/2020,Case 74
Kwun Tong,Kai Tin Shopping Centre (Non residential building),13/02/2020,Case 72
Eastern,"Workingberg Commercial Building, Marble Road (Non residential building) ",13/02/2020,Case 85
Wan Chai,The Hong Kong Jockey Club Happy Valley Clubhouse (Non residential building),14/02/2020,Case 85
Kwun Tong,Hiu Lai Court Shopping Centre (Non residential building),14/02/2020,Case 67
Eastern,"Yuan Kung Mansion, Tai Koo Shing (Non residential building)",15/02/2020,Case 57
Sham Shui Po,Cheung Sha Wan Jockey Club Clinic (Non residential building),15/02/2020,Case 58
Sham Shui Po,298D Un Chau Street (Non residential building),16/02/2020,Case 58
Wan Chai,35-45 Johnston Road (Non residential building) ,16/02/2020,Case 85
Tai Po,"Fortune Plaza Arcade, 4 On Chee Road (Non residential building)",17/02/2020,Case 68
Wan Chai ,World Trade Centre (Non residential building) ,17/02/2020,Case 85
Eastern,"Coronet Court, 1-9A North Point Road (Non residential building)",18/02/2020,"Case 64, 65"
Tuen Mun,5 Sam Shing Street (Non residential building),18/02/2020,"Case 63, 66"
Central and Western,271-285 Des Voeux Road West (Non residential building),18/02/2020,Case 69
Wan Chai,310 Gloucester Road (Non residential building),18/02/2020,Case 85
Central and Western ,Man Mo Temple (Non residential building),19/02/2020,Case 85
Wan Chai,Hang Wai Commercial Building (Non residential building),19/02/2020,Case 85
Kwun Tong,Kwun Tong Community Health Centre (Non residential building),19/02/2020,Case 69
Eastern,Cheong Yuen Building (Non residential building),19/02/2020,Case 74
Central and Western,Yardley Commercial Building (Non residential building) ,19/02/2020,Case 85
Kwun Tong ,Kwong Tin Shopping Centre (Non residential building),20/02/2020,Case 72
Yau Tsim Mong ,Mong Kok East station (Non residential building),20/02/2020,Case 82
Kwun Tong,Sceneway Plaza (Non residential building),22/02/2020,Case 82
Eastern,Ming Yuen Centre (Non residential building),22/02/2020,Case 83
Central and Western,JW Marriott Hotel (Non residential building),22/02/2020,Case 85
Eastern,"Tower 1, Fleur Pavilia (Non residential building)",22/02/2020,Case 85
Wan Chai ,Jolly Villa (Non residential building) ,22/02/2020,Case 85
Eastern,Chun Yeung Street Market (Non residential building),22/02/2020,Case 86
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street (Non residential building)",22/02/2020,"Case 65, 70, 73, 74, 76, 77, 83, 86"
Wan Chai,Royal Hong Kong Yacht Club (Non residential building),23/02/2020,Case 85
Islands,23-27 Sok Kwu Wan First Street (Non residential building),23/02/2020,Case 85
Wan Chai,Hong Kong Sanatorium & Hospital (Non residential building),25/02/2020,"Case 76, 85, 91"
